epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,4582.97,1.06794,0.50886,1.00555,0.98338,0.98008,0.98496,0.74603,0.28402,0.12411,0.3349,0.00458416,0.00458416,0.00458416
161,4614.59,1.13245,0.50997,1.0547,0.97927,0.9761,0.98197,0.74583,0.28311,0.12484,0.33458,0.00453258,0.00453258,0.00453258
162,4647.79,1.03684,0.52167,1.01068,0.97933,0.9761,0.982,0.74552,0.28287,0.12447,0.3339,0.00448106,0.00448106,0.00448106
163,4679.74,1.06592,0.48762,0.99401,0.97925,0.9761,0.98144,0.74715,0.28212,0.12537,0.33364,0.0044296,0.0044296,0.0044296
164,4711.64,0.99302,0.47072,0.98161,0.97943,0.9761,0.98144,0.74741,0.2825,0.1243,0.33393,0.00437821,0.00437821,0.00437821
165,4741.38,1.09302,0.50597,1.02993,0.97954,0.9761,0.98159,0.74797,0.28188,0.12354,0.33381,0.00432689,0.00432689,0.00432689
166,4767.05,1.08084,0.51415,1.02585,0.97946,0.9761,0.98173,0.74752,0.28123,0.12357,0.33346,0.00427565,0.00427565,0.00427565
167,4793.06,1.04297,0.51567,1.00395,0.97945,0.9761,0.98168,0.74662,0.28063,0.1232,0.33317,0.00422449,0.00422449,0.00422449
168,4819.14,1.01924,0.47734,0.95537,0.97925,0.9761,0.9816,0.74945,0.27995,0.1225,0.33296,0.00417343,0.00417343,0.00417343
169,4844.49,0.98079,0.50468,0.96213,0.97911,0.9761,0.98128,0.74964,0.27854,0.12273,0.33273,0.00412246,0.00412246,0.00412246
170,4866.73,0.95529,0.48416,0.97494,0.97911,0.9761,0.98151,0.75191,0.27695,0.12219,0.33232,0.0040716,0.0040716,0.0040716
171,4889.05,1.02257,0.52188,0.9854,0.98324,0.98008,0.98442,0.75216,0.27614,0.12155,0.33219,0.00402084,0.00402084,0.00402084
172,4911.39,1.0307,0.48239,0.99026,0.97941,0.9761,0.98175,0.75005,0.27518,0.12112,0.33196,0.00397019,0.00397019,0.00397019
173,4934.21,1.11583,0.51621,1.03575,0.9795,0.9761,0.98196,0.75238,0.27431,0.12109,0.33182,0.00391966,0.00391966,0.00391966
174,4957.35,1.15951,0.54692,1.06369,0.97961,0.9761,0.98184,0.7537,0.27414,0.12019,0.33204,0.00386926,0.00386926,0.00386926
175,4980.09,1.08118,0.50496,1.0084,0.97965,0.9761,0.98191,0.75129,0.27347,0.11963,0.33188,0.00381899,0.00381899,0.00381899
176,5002.94,1.03693,0.45771,1.02937,0.97964,0.9761,0.98224,0.75342,0.27342,0.11951,0.33177,0.00376885,0.00376885,0.00376885
177,5025.95,1.0594,0.47901,1.06035,0.97964,0.9761,0.98243,0.75401,0.27289,0.119,0.33164,0.00371885,0.00371885,0.00371885
